run_id,model,lr,dropout,batch_size,num_heads,head_dim,num_filters,cnn_kernel_size,lstur_mode,epoch,train_loss,val_loss,val_auc,val_mrr,val_ndcg5,val_ndcg10,is_best
1,naml,0.0001,0.2,64,,,400,3,,1,2.926953,1.485057,,,,,1
1,naml,0.0001,0.2,64,,,400,3,,2,1.510287,1.463659,,,,,1
1,naml,0.0001,0.2,64,,,400,3,,3,1.490399,1.495504,,,,,0
1,naml,0.0001,0.2,64,,,400,3,,4,1.47561,1.487303,,,,,0
1,naml,0.0001,0.2,64,,,400,3,,5,1.460071,1.473286,,,,,0
2,naml,0.0003,0.2,64,,,400,3,,1,2.911447,1.561132,,,,,1
2,naml,0.0003,0.2,64,,,400,3,,2,1.668181,1.532316,,,,,1
2,naml,0.0003,0.2,64,,,400,3,,3,1.673771,1.681699,,,,,0
2,naml,0.0003,0.2,64,,,400,3,,4,1.639844,1.558171,,,,,0
2,naml,0.0003,0.2,64,,,400,3,,5,1.603778,1.558621,,,,,0
3,naml,0.0001,0.3,64,,,400,3,,1,3.726018,1.500617,,,,,1
3,naml,0.0001,0.3,64,,,400,3,,2,1.543787,1.47967,,,,,1
3,naml,0.0001,0.3,64,,,400,3,,3,1.499242,1.466459,,,,,1
3,naml,0.0001,0.3,64,,,400,3,,4,1.486739,1.46878,,,,,0
3,naml,0.0001,0.3,64,,,400,3,,5,1.488549,1.465353,,,,,1
3,naml,0.0001,0.3,64,,,400,3,,6,1.493323,1.502776,,,,,0
3,naml,0.0001,0.3,64,,,400,3,,7,1.489056,1.498037,,,,,0
3,naml,0.0001,0.3,64,,,400,3,,8,1.481049,1.495415,,,,,0
4,naml,0.0003,0.2,64,,,400,5,,1,2.543002,1.589454,,,,,1
4,naml,0.0003,0.2,64,,,400,5,,2,1.663139,1.642145,,,,,0
4,naml,0.0003,0.2,64,,,400,5,,3,2.093442,1.94574,,,,,0
4,naml,0.0003,0.2,64,,,400,5,,4,1.699545,1.66063,,,,,0
5,lstur,0.0001,0.2,64,,,400,,ini,1,1.611712,1.480071,,,,,1
5,lstur,0.0001,0.2,64,,,400,,ini,2,1.484768,1.453852,,,,,1
